Ice,category,Product Name,Milk,Whip,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron,Caffeine
Hot,Tea,Chai Tea Latte,2%,,190,3.5,1.5,0.1,15,90,34,0,32,6,10 ,0 ,20 ,2 ,70
Hot,Tea,Chai Tea Latte,Whole,,200,6,3,0.2,15,80,34,0,32,6,8 ,0 ,20 ,2 ,70
Hot,Tea,Chai Tea Latte,Soy,,160,2.5,0.3,0,0,70,31,1,28,5,6 ,0 ,20 ,10 ,70
Hot,Tea,Chai Tea Latte,Coconut,,160,3.5,3.5,0,0,75,31,0,29,1,0 ,0 ,0 ,2 ,70
Ice,Tea,Iced Chai Tea Latte,Nonfat,,150,0.2,0.1,0,5,75,33,0,31,6,10 ,0 ,20 ,2 ,70
Ice,Tea,Iced Chai Tea Latte,2%,,180,3,1.5,0.1,10,80,33,0,31,5,8 ,0 ,15 ,2 ,70
Ice,Tea,Iced Chai Tea Latte,Whole,,190,5,3,0.1,15,75,33,0,31,5,8 ,0 ,15 ,2 ,70
Ice,Tea,Iced Chai Tea Latte,Soy,,160,2.5,0.3,0,0,70,30,1,27,5,6 ,0 ,20 ,8 ,70
Ice,Tea,Iced Chai Tea Latte,Coconut,,150,3.5,3,0,0,70,31,0,29,1,0 ,0 ,0 ,2 ,70
Hot,Tea,Earl Grey Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,40+
Hot,Tea,Emperor's Clouds and Mist Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,1--15
Hot,Tea,English Breakfast Black Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,40+
Hot,Tea,English Breakfast Black Tea Latte,Nonfat,,110,0.1,0.1,0,5,70,23,0,23,5,10 ,0 ,20 ,0 ,40+
Hot,Tea,English Breakfast Black Tea Latte,2%,,140,3,2,0.1,15,80,23,0,23,5,8 ,0 ,20 ,0 ,40+
Hot,Tea,English Breakfast Black Tea Latte,Whole,,160,5,3,0.2,15,75,23,0,23,5,8 ,0 ,15 ,0 ,40+
Hot,Tea,English Breakfast Black Tea Latte,Soy,,120,2.5,0.3,0,0,60,20,1,18,4,6 ,0 ,20 ,8 ,40+
Hot,Tea,English Breakfast Black Tea Latte,Coconut,,120,3.5,3.5,0,0,70,20,0,20,0.4,0 ,0 ,0 ,0 ,40+
Hot,Tea,Green Tea Latte,Nonfat,,140,0.3,0.2,0,5,115,25,1,24,10,20 ,10 ,30 ,4 ,55
Hot,Tea,Green Tea Latte,2%,,190,5,3.5,0.2,20,125,25,1,24,10,15 ,10 ,30 ,2 ,55
Hot,Tea,Green Tea Latte,Whole,,220,9,5,0.3,25,115,25,1,24,9,15 ,10 ,30 ,4 ,55
Hot,Tea,Green Tea Latte,Soy,,160,4.5,0.5,0,0,105,20,2,17,8,10 ,10 ,30 ,15 ,55
Hot,Tea,Green Tea Latte,Coconut,,140,6,6,0,0,105,21,1,19,1,2 ,10 ,0 ,2 ,55
Ice,Tea,Iced Green Tea Latte,Nonfat,,120,0.3,0.1,0,5,95,22,1,21,8,15 ,10 ,25 ,4 ,55
Ice,Tea,Iced Green Tea Latte,2%,,160,4.5,2.5,0.2,15,105,22,1,21,8,15 ,10 ,25 ,2 ,55
Ice,Tea,Iced Green Tea Latte,Whole,,180,7,4,0.2,20,95,22,1,21,7,10 ,10 ,25 ,4 ,55
Ice,Tea,Iced Green Tea Latte,Soy,,140,3.5,0.5,0,0,85,18,2,16,7,10 ,10 ,25 ,15 ,55
Ice,Tea,Iced Green Tea Latte,Coconut,,120,4.5,4.5,0,0,90,19,1,18,1,2 ,10 ,2 ,2 ,55
Ice,Tea,Iced Green Tea,,,60,0,0,0,0,5,15,0,15,0,0 ,0 ,0 ,0 ,20-25
Ice,Tea,Iced Green Tea Lemonade,,,90,0,0,0,0,5,24,0,24,0.1,0 ,10 ,0 ,0 ,20-25
Hot,Tea,Jade Citrus Mint Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,16-25
Hot,Tea,London Fog Tea Latte,Nonfat,,110,0.1,0.1,0,5,70,23,0,23,5,10 ,0 ,20 ,0 ,40+
Hot,Tea,London Fog Tea Latte,2%,,140,3,2,0.1,15,80,23,0,23,5,8 ,0 ,20 ,0 ,40+
Hot,Tea,London Fog Tea Latte,Whole,,160,5,3,0.2,15,75,23,0,23,5,8 ,0 ,15 ,0 ,40+
Hot,Tea,London Fog Tea Latte,Soy,,120,2.5,0.3,0,0,60,20,1,18,4,6 ,0 ,20 ,8 ,40+
Hot,Tea,London Fog Tea Latte,Coconut,,120,3.5,3.5,0,0,70,20,0,20,0.4,0 ,0 ,0 ,0 ,40+
Ice,Tea,Iced Mango Black Tea,,,60,0.1,0,0,0,10,14,0,14,0,0 ,0 ,0 ,0 ,20-25
Ice,Tea,Iced Mango Black Tea Lemonade,,,90,0.1,0,0,0,5,24,0,23,0.1,0 ,10 ,0 ,0 ,20-25
Hot,Tea,Mint Majesty Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0
Hot,Tea,Oprah Chai Herbal Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0
Hot,Tea,Oprah Cinnamon Chai Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,1--15
Hot,Tea,Oprah Cinnamon Chai Latte,Nonfat,,130,0.1,0.1,0,5,70,25,0,23,5,10 ,0 ,20 ,0 ,40
Hot,Tea,Oprah Cinnamon Chai Latte,2%,,150,3,2,0.1,15,80,25,0,23,5,8 ,0 ,20 ,0 ,40
Hot,Tea,Oprah Cinnamon Chai Latte,Whole,,170,5,3,0.2,15,70,25,0,23,5,8 ,0 ,15 ,0 ,40
Hot,Tea,Oprah Cinnamon Chai Latte,Soy,,130,2.5,0.3,0,0,60,22,1,19,4,6 ,0 ,20 ,8 ,40
Hot,Tea,Oprah Cinnamon Chai Latte,Coconut,,130,3.5,3.5,0,0,70,22,0,21,0.4,0 ,0 ,0 ,0 ,40
Ice,Tea,Iced Oprah Cinnamon Chai Latte,Nonfat,,120,0.1,0.1,0,5,70,24,0,23,5,10 ,0 ,15 ,0 ,40
Ice,Tea,Iced Oprah Cinnamon Chai Latte,2%,,150,3,2,0.1,10,75,24,0,23,5,8 ,0 ,15 ,0 ,40
Ice,Tea,Iced Oprah Cinnamon Chai Latte,Whole,,160,5,3,0.1,15,70,24,0,23,5,8 ,0 ,15 ,0 ,40
Ice,Tea,Iced Oprah Cinnamon Chai Latte,Soy,,130,2.5,0.3,0,0,65,22,1,19,4,6 ,0 ,20 ,8 ,40
Ice,Tea,Iced Oprah Cinnamon Chai Latte,Coconut,,120,3.5,3,0,0,65,22,0,20,0.3,0 ,0 ,0 ,0 ,40
Hot,Tea,Passion Tango Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0
Ice,Tea,Iced Passion Tango tea,,,60,0,0,0,0,5,15,0,15,0,0 ,0 ,0 ,0 ,0
